"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"32",672282,"Detmers, Reid","2021-08-15","87","36.8","0.167","0.000","0.333","0.167","0.224","0.288","0.237","1","6","74.0","-14.0","2425","73.6","72.21","3","10","22","-1.4","5.55","111","157","118","147","305","327","302"
"32",502179,"Espino, Paolo","2021-08-21","79","40.5","0.000","0.000","0.000","0.000","0.063","0.184","0.120","0","10","89.2","34.8","3024","72.6","72.03","8","17","15","-0.6","6.41","110","164","130","146","305","324","300"
"32",621244,"Berríos, José","2021-09-04","103","31.1","0.167","0.083","0.222","0.250","0.177","0.304","0.276","2","12","83.5","18.3","2317","82.1","81.97","4","19","13","-0.1","6.28","113","155","120","150","292","329","298"
"32",448179,"Hill, Rich","2021-08-05","80","40.0","0.222","0.000","0.222","0.222","0.248","0.290","0.241","2","9","85.6","13.8","2655","70.8","69.41","2","15","17","-1.4","5.97","106","150","113","145","292","303","288"
"32",664285,"Valdez, Framber","2021-08-22","98","32.7","0.167","0.000","0.500","0.167","0.147","0.154","0.170","1","6","95.2","3.0","2827","77.8","76.59","8","10","22","-1.2","5.85","114","162","122","147","283","326","289"
"32",448179,"Hill, Rich","2021-09-03","85","37.6","0.143","0.000","0.167","0.143","0.126","0.354","0.380","1","7","86.9","11.3","2657","70.9","69.95","1","11","21","-1.0","5.97","103","155","105","147","297","321","294"
"32",621244,"Berríos, José","2021-09-14","87","36.8","0.000","0.000","0.000","0.000","0.000","0.141","0.154","0","4","87.8","43.0","2350","82.8","82.72","2","13","19","-0.1","6.28","107","152","156","148","304","338","301"
"32",641778,"Lauer, Eric","2021-05-04","91","35.2","0.111","0.000","0.143","0.111","0.098","0.279","0.268","1","9","88.1","9.7","2451","80.0","79.37","4","16","16","-0.6","5.80","114","152","116","148","295","323","293"
"32",593334,"Germán, Domingo","2021-06-01","86","37.2","0.200","0.000","0.333","0.200","0.176","0.043","0.039","1","5","85.5","21.3","2598","80.9","80.67","8","20","12","-0.2","5.98","116","165","126","139","304","328","291"
"32",643290,"Dunn, Justin","2021-05-18","94","34.0","0.167","0.000","0.333","0.167","0.147","0.218","0.136","1","6","75.7","-6.0","2542","79.8","80.02","6","18","14","0.2","6.43","114","157","115","149","302","324","300"
